Sector,Coordinates,lat,long
86,"28.3986° N, 76.9384° E",28.3986,76.9384
87,"28.3936° N, 76.9312° E",28.3936,76.9312
88,"28.4220° N, 76.9571° E",28.422,76.9571
89,"28.4253° N, 76.9439° E",28.4253,76.9439
90,"28.4085° N, 76.9369° E",28.4085,76.9369
91,"28.4014° N, 76.9225° E",28.4014,76.9225
92,"28.4079° N, 76.9153° E",28.4079,76.9153
93,"28.4153° N, 76.9326° E",28.4153,76.9326
94,"28.4223° N, 76.9312° E",28.4223,76.9312
95,"28.4172° N, 76.9081° E",28.4172,76.9081
96,"28.3966° N, 76.8735° E",28.3966,76.8735
97,"28.4086° N, 76.8793° E",28.4086,76.8793
98,,,
99,"28.4640° N, 76.9614° E",28.464,76.9614
100,"28.4613° N, 76.9708° E",28.4613,76.9708
101,"28.4672° N, 76.9801° E",28.4672,76.9801
102,"28.4750° N, 76.9715° E",28.475,76.9715
103,"28.4949° N, 76.9845° E",28.4949,76.9845
104,,,
105,"28.4952° N, 77.0114° E",28.4952,77.0114
106,"28.5007° N, 77.0003° E",28.5007,77.0003
107,"28.5052° N, 76.9729° E",28.5052,76.9729
108,"28.5134° N, 76.9830° E",28.5134,76.983
109,"28.5073° N, 77.0089° E",28.5073,77.0089
110,"28.5145° N, 77.0197° E",28.5145,77.0197
111,"28.5238° N, 77.0320° E",28.5238,77.032
112,"28.5282° N, 77.0176° E",28.5282,77.0176
113,"28.5287° N, 77.0233° E",28.5287,77.0233
114,"28.5334° N, 77.0118° E",28.5334,77.0118
115,"28.5385° N, 77.0061° E",28.5385,77.0061
